label,photo_id,business_id,caption
inside,CdAXs-e1KwNOzVQ4rDtjoA,G-5kEa6E6PD5fkBRuA7k9Q,"Inside Giada's. Beautiful restaurant, great views, mediocre food."
food,YEAVt3OOfSpNGsV8PmQi8g,HgZWAW4O_itNxtexankANg,Kids Hot Dog
outside,UHOQW6VdJ1nQuAMLqU6JxQ,e7bcP2P8WO0NFe1DjjoYQA,
food,BpctgbgNdTGU3fCtOcdZMQ,qfoj3E_1vf5CKwdpcJBjPA,
food,D84MtnzvndQvqlUeKqNR8A,DIB8aZ0EVaPnbpU27-lEsA,Greek Salad
food,-smh7AV8-t9aRjru4rmQtA,Xxz0qN2tdBaqMT7WVdg4yQ,Zesty Nachos
inside,PF1Hr2bKqEr611mrFkxZSg,93ZBgqaD7Vup4K9edAQ9pw,
inside,_PbJz8-ZQOfuw_QSVBSRqw,KGB3aU5Q_xIDpvcHNq32wQ,4
food,Qk-WDiv1iHl9bUjh89AtQA,KEyjG-6G4Dbo3p1Wmnxs4Q,
food,0P8oIq7N-GCiElbMNvLduw,MW6hyPt6Xz6cIVyp_r1yLg,
food,Xw2pZq-7JXiYpvJNwthhZA,f1MBECpqcyvR6sMARKrr_w,"Lobster, Ribeye, Sea Bass IG: @culturegrub702"
drink,hXCukkeKVjl187JSPjp_Yg,yLnpDARXjqc1Iaom-Pcf7g,
food,7wMbO3fyABP6pGppw3FakQ,e1i5mbYpFV8rQtfqtVwq3w,
food,M21vsLD4RpfI6WtqpzNLCw,8z5yR4GrOmdhy9RvNt_Djg,BBQ Rib - cilantro dough w/ Mom's BBQ beef filling
food,GQVkwM7R3IzBcN1XS10HCA,wxL9wgxLeuMMfI6SAXIzJw,Lobster Mac and cheese
food,HXwyl5O90_kNtrCbW7aZGw,dqGR-R3_40MoTxGpeZovSA,Connecticut lobster roll ($17)
inside,7xvMck3B9zXZjzkj9qWfWA,RmgdyhVjHGnQxX0bjr9XVA,
food,5Ohxt40KZyv4C_JiepTBrA,8tMy7yEeNVYylVVFRlPmdQ,so yummy
inside,UKwvs2--l7U66f6vL0CqPQ,V9NPNXW4n76qlM2QdnX7hg,
food,8K3FMiyoGGC5d5t1RTA9lg,99_GlxFriPT_DzoVFGu7EA,
food,yZREkvXhDhDAVNhP0W84_w,9i7Gz3xaa-gwh1Fi3q1_kA,gnocchi side
food,rasciCzU8ND-RQA-UQkJRw,n3cFalLLuMyAy3Oe2dcwQw,
inside,feBHATKJsMH64tDfVY9-2Q,w8Eq5R1T-5ZdfhE3MvGGeg,
inside,HIyxRo1I6XtuK9g2OJVADg,6ksBg7LoD06ctMU3OfNFUQ,High chair
food,ho7Lky8Wza5kNytSXcLUeA,orjSfu6Gcv2SQlXVsXdVBg,Hurache
food,Gk05-L1sTjmQUqHZqMMsBw,B9HEaOiIBYduurc0AeCadg,
food,2ROgobbN0594Dcd6IL-efg,mnn--vaYHtNyBNYFYBFIog,"Suckling pig, milk foam"
inside,nU3OCtYrxQOoNQjPyKSrFA,efAhdUR2MXCgLWNA7KtQ1Q,
food,Uvs_c6F9agz9gQSmxegFnw,_rgsXTR4PehGyLg_8tPD0Q,
food,xPaE6-q1cPRzPCyml2rQVg,8D0riP6OYLoQ_pPE7Q2MNQ,
outside,k2Sfe9xQ7xjBSa-7swk3Uw,XnJeadLrlj9AZB8qSdIR2Q,terrace
outside,M3upjVLRsBgYlyVY7eB_xQ,7xg1Uf9v57CWOPDjpb5Xzw,
inside,_pGmKaSV7KnxN7ZFJzz6Dg,iIwKW2cBAxjElE8eUzjwqA,
inside,NEiwrJSES_TFwS0UlP45bQ,z8HtGSCKh8bLHNvL8Mo8AA,
food,owo7tkiR4r7jV_Nprh7S-w,NLEe-RzDSU-5BN6xp_WWCw,Corn Cakes - complimentary
food,GMXPFwGXZh4x88GQqhGMvg,VGRn5KgYKMkqdIKtBUzQQA,
food,Bp0earm421ACQFFYnr6idg,XmxRXzCFkzQK23kkHgUgLA,
food,KjISZwq2SBM-EGskQm8zzw,YTCCJ3ShO-zg0dlx1nk6dw,Yellowtail Kama
inside,F9AdmPSMemujnOAUnnkOFQ,bz69msmKwRjWQzN-XwyV6Q,
outside,Q0CKQZ6r-j_atp6NXJIVhg,FhgAHo-8--equM8w5UZ41Q,"Very nourishing and delicious,  thai bowl and pit caribou beer."
inside,-11us-vSAGT7ENqXaPqO0Q,pwdZMC9Q2QH2uNbUj3NDeA,
food,dGZUOmeQNH-oXMJISu7TkQ,BNzcfz3jmBo_1wUB5YIsXg,
food,gPLdajmVnkWcrQo4rhGk8A,GPGgN0_7xFdB6gqwaMabOA,
food,nHdwv7oAVykMWaRefVfBFg,hCsJv234v62MgdsUU1j8dQ,King crab legs...yummy!
inside,l9tOgcsGcUCP5KBNGJtjtQ,fqMAnoS2sTokz6lqBSmoCw,Amelia!  Best bartender ever!
food,lPuYYQeh2zQKkejW47BGJA,mOF_0nlTRu5NxOu6MsOAQQ,
inside,GCm0MHdoTc4cvo2IiCGxKQ,vNNWCCLocoJIQ5XwuG4mLg,
inside,W3lA8Y3qVhvf4m8R-AC5zw,Uxm9N6jwmJybOv1NcBbnRw,Quail egg!
food,8Bmd2rxvDh1wQsPvEUIMAg,u4sTiCzVeIHZY8OlaL346Q,Awesome food from gaucho as always!
food,b_G0FQTpcooAqSK7XKdsLg,rvucQ2Z6Z5p4kH3-J-i9UQ,Cali Club Sandwich
food,wDOl6oR0xPASmuRcrknBZw,mUVAMNN7BCQ9HGA9w_7C1g,
outside,y4mSzhlbt5XblmIqTs0-hA,zf1h0aVL8-Jl91F-mDxZEg,
food,fCRs-Qev5i5W_GuZN5aiow,j4yy849UTOiLe7VVnBCwnQ,
food,Eqwm-WBYwEqaYxHuujVoug,9P23-V64kYz3trn9ecaJJA,Itoyori Snapper w/ Truffle Oil!
outside,X5djKuAX8iE3VouAXl4hzA,l9INRS0lTSje9KFzimLePw,
food,nYlnQ0hDqTK2OP9cxxSPSA,gwlgv3yZ_B0Mk9aLcwTpSw,
food,l2XhS9Gscmuvybw0YxUdGg,_AKdBFzkl7GY-daxUCCbVA,Singapore Black Pepper Chicken
food,yprditydGu6czsDDpK5QWg,47lZIUShHGesiZypN6y7Bw,McDonald's Big Mac® Extra Value Meal
inside,aVy-lnL3BcxBzJmWDgFoEQ,1WD2WT0klJT7t-zL5ZmfUw,
food,6EUlF7cRx60zAg1Ps8soKQ,NtIUfE8Yj119F3DSPXYs5A,Ribs. Coleslaw was nasty af
inside,aAUt5jXHsjpM7L3eBRzqXQ,VD0zZKG_ZEz_VYlKLtu9Zg,Rib eye. Paper cups with lids for kid friendly dining.
drink,M-8fJfp26f9eUnDl4PKxOA,fNc1WuGwiT7RhqXUIe4S8A,
inside,lzER5kQczrtxY3Au1dzoIg,cYwJA2A6I12KNkm2rtXd5g,
food,ZFerTjDgSHR5JhQ4NnG8cg,FTspPrLTqUnkkEBked_syg,25 Wing Sampler
food,kjJC0b8MMMwmd8nEIx0QNw,I4Nr-MVc26qWr08-S3Q1ow,Corned beef on Focaccia
inside,yLMUzwNPFnj2fLISBZr89g,MQsccAhTxdd2Y5JBKjrT9w,Big screen TV's...
food,bRHY80OHhmobT_GdnTAU-g,f_eiOrEcMnkHB7GvQVOHkQ,My Burger and Fries
food,-oX26-qZZkGZO5LhDX_Q-g,vLkKorA1gPS97Zj0_WKA0Q,
food,2KPFjqOc9xFBay_jy9kc2g,RAh9WCQAuocM7hYM5_6tnw,
inside,vI49a70dATP63tQK9cYE3Q,98V9R-7YT20KmcmJyMiJmg,
food,8sJmdr0i0EcRnaiFSSLcRg,nxz2oOD3sryU5evFAYmmLQ,
outside,k_mlNzvUPxqDV6_39HihqA,kE7uP-sybELPfvsEZRzwqg,
food,v3h83PH2U9FkBYROsPrTbA,zaczw0lMSefftLJZTnPFtQ,"They didn't give me the side of sauce, or put sauce on my hot and spicy. They also did NOT put a beef patty on my cheeseburger."
food,XFsXCbK5q3ks0n7B8grI8A,JzB7NITHQ7gVHGVZ1ntgIQ,
food,DN9T8FLkqWO-qIEBNB3biA,NuIeYLuizjkzQz-33s0Jgg,
food,Qg7s3dXcNkfg2TQThZ7Ghw,nrq5H3LZicjMG0wv7gy08g,Butarosu
food,h8KnOBjolCHxcpIG1jfPRQ,cjZfgcQwA6KmQ_ANWKN2aw,
outside,1_rXWf4eqzqb49tMlCXOhA,0W4lkclzZThpx3V65bVgig,Line looks long but only waited 15 min!
inside,hDDhElAtPm_Y5u8qYfNswA,BuHbMNbCQzzYi-3Y5w1c4Q,Busy busy during soft opening!
food,5kKiTGkODxCK0KoJX12xBQ,POJL-N7Smw1UZMP_xldFwg,Panna Cotta
food,PpQHefq8EHe4MAcfxB8ekw,RI09fylw-_70RN6190LikA,
drink,YAhs93wN4D7jcSwza4lX2g,WKOUTdVJS58E178JjhwidQ,
drink,_gMNX_yGp5ORb5A8oQwEQg,WKOUTdVJS58E178JjhwidQ,lattes are beautiful
food,vQNhhtQ6I2rtisufM5Lb2g,pDwKOuqjQ4gtoX-aaQPJ_g,
food,DHkfDWKOuh2Npr7ota0MrA,1gQrMs-I8oKg2p-iRxznzQ,Fried green tomatoes
food,NZSY6SkEH2W5ZBmFJOSVYg,K-uQkfSUTwu5LIwPB4b_vg,Caesar salad with shrimp
food,mKfv2e4sKZSS3MkCWA_btw,wkKlpSx3OcoGJiv7p8VZzw,"Hearth Baked Bread  Cultured Butter, Sea Salt @endoedibles on Instagram for more"
outside,twoNYeclt_0T9ajZleq5AQ,JXwyTKI7TlnleDhT3LRKKQ,Nothing like enjoying a great cigar and a good drink at the beautiful Rhumbar at the Mirage Resort!
drink,sudoKd4yY8i5yqaAMzXSYA,rcaPajgKOJC2vo_l3xa42A,Happy Hour! Acceptable selection of light dishes and unsurprisingly stellar wine list.
food,Vds_S7zMWZd8IQxF9SGabw,939j88ceB05Te3D7kQPwSA,2013 VWS Party
food,wEk5JCUgH4Rl0JgIArLHfw,v_yCY6NCwxCPIsNZR80UfQ,
inside,GhkuxF1VhlxUo5uzaYI9Ug,FJMMPL3pxAPYGEPB0Hwlhw,Chef's Table
inside,1CUpjIJOhm2K8_aJBVG7-g,wgXwKEK9MeJruxx7-w178Q,20 beers on tap featuring some of the best craft beers and old favorites!
food,Hpqp8d_Q-8_E3a9YumxAOg,0dEUND3rVLjp50rczLIaeA,
food,8rYvlqOL-x7_ovr674Fkaw,rO9X1ge-xQZInuy5HYIOIA,
food,4oYaED0shRBlSwtYNDoOkw,xM37qm9Wbc-hOAS7-Xse7g,Kobe beef
food,iN-M0e9cv1pldqyS1Rhw0g,2vQl7sm4oLWrAWtdoSMEaA,Warm Pretzel Buns with Guinness Cheese
food,NyyjseRkPBkUaeAnmY3iHw,mU3vlAVzTxgmZUu6F4XixA,
inside,haN0gZUrxf8RjFXfBXr2_w,UotZUkpcI0p2J8RUAD36Ng,Speakeasy Chic Dining Lounge
food,V-sUTtico6xfnbvQJto7Sw,7GfA5WMSRd-JCaPxnwgIQw,Broccoli Beef
inside,dXWf3su5MyOhWZx1fYMJvA,IoxLILBKAajE9kY5j8F72g,
food,cxmn3fMr7YEjV8mg1qmL6Q,CKoDbOpF_CSyy6_lttqjKg,
inside,x1p04nnM0l-innIXGbW0zQ,K7lWdNUhCbcnEvI0NhGewg,Yummy desserts
inside,-VhH6ylx7uuwEHstMPYXrQ,5DWBUWdr6UEtWfHeD7zIRw,
food,JrTjih_UYXt0YcdbJd9sSA,rcaPajgKOJC2vo_l3xa42A,Awesome brunch
inside,uK_P2z7EKm-9DtTEnVnOyg,AtUtG-oQp1rkk6ZdYcfSzw,
food,Jb4dEkXlHra8vdt9A3Y0mQ,PpreEj90GJUDm7LHI6kPOA,Beef Barbacoa Quesadilla Ð Limited Time Only
food,4bnbXWLNVeFqcT7CfyIzZg,dlNMXG9-BWsPGom0_lCCNQ,
food,GfOT_1wbo6vJQNZg23X7rg,oZHbPhIj01_31jqD053a_Q,
inside,xRbq0FuUdqDqoGrnvCiBVA,A5zTEcff9bMw9LhtIk8wCA,Inside ambience
food,4QufcgraNcqXnzQp4Yf7Eg,oqJe5o_4J0xkhvTSTP9UNQ,
food,Ajm0LSlH1mZPKO9yRZB6xA,2KadiQLTen9_mN_dXgKR5A,Salmon Pastrami
food,hvp8tyAAUxn6m_C9XTzgGA,XZ7eQLjyGXf6y69UT4SGhg,Lemon Tarts
inside,gx8YB81TfuU9kxFaPuH6MA,ePjHWTk1AzpYbuh4lFzhxg,
food,DXBxVOy6fXriLSrdbuz3YA,zY4P1gScsqbo-dd4WGxxtA,
food,ek7-BZtHOaCuknDhaV-N_g,e3PBfbtXUjMziX6XGsOMoA,
outside,HCoZF8tZLV8bazlv27LdDw,5YxLz0ZVjlosKtEBFqzVvQ,
outside,lXNkCSFW7agRQi27Uc8fUw,0_aeYE2-VbsZts_UpILgDw,Lazy Dog in Downtown Summerlin.
outside,WDFltghbU4TzoRbLujZstQ,wkKlpSx3OcoGJiv7p8VZzw,Exterior
food,TzrUqAW9Ahpnx8XhjXUJXg,mkceCArNe87jwSdLfsslXg,Oysters and Hamachi appetizers
inside,24e0EaXue2lkI8QJe5nmqg,Knnc473zh8m7IBC0oLTHkg,
outside,X273Cw6-dDmioHSLruiTJQ,ZXfMiPsPv-cH7GMQ-5-mhA,
inside,vMeFFAyOCzmY7oP0YPNMMw,d5n5CsoJNu-tKEbfI6U3tA,
food,5os-yJc6dxARkNTGwx0Q2A,nMaIIKEAW2cTEWbEyeFyXQ,
food,0eTy8kun_vpEnkRSRC3rGg,wLV7MpP_uDc2OuzFcU0ZZA,Sriracha Chicken Pasta
inside,7jBr0jLHHou4L6QQvK4vZg,85DKEmPCUrSEkwPAxIag1A,"Nice decoration, the place gets plenty of sun around brunch"
food,A7I9CsfyIZpchJSEAE4GpA,sqRX-XLlhx4rs2c1TpBf8A,Kobe beef outside skirt with garlic - phenomenal!
inside,xVlTzcE0NkLeNNe-x4Z6JQ,USleI8g1UVN9-9jm-b4uIg,
outside,58nBPdvMjT6Z3wqa4yB8ZA,pKiSzUlBBRNEdTML24piXA,Restaurant Front
inside,cxWThoCx6lZHbp5Q2KaaOw,RMHAxJpSwkNC2WIfMokgVQ,
food,D0r8JYDiLjtCEkl3Kx6_3A,sAXy1yJRLllTm5WrJbJGAA,
outside,ipmmhA-3RD6eGVCAaVogMA,fE9SP84G6TZrv36FLbCy7w,
inside,gdO2YaFT5E_7KS8WG7bvzA,6dk3H4X0ZztxbG3b5Yij4w,Water
food,rE6E932KtMFw_QWw4k-7tQ,dRyWHUijsNAcuhO6eyPUEQ,
inside,zqX6lbx4eG9q6AlgmvkCwQ,QOl8esnvNxwIVHd9hNtL_w,Wow
food,jkKysgXkNMiEXPWoNNjfVA,LrO_Xy6lfpbTgFoJcOjY4w,
drink,ByyuK-3RadMwAkol9bRySQ,gc_GGat7TgNCmrgc4nVOgw,"New York Harbor ($12): Knob Creek Rye Whiskey & Taylor Fladgate 10yr Tawny Port. This was quite strong, even 4 seasoned drinkers"
outside,faYRrPCQ0G1p-KvK7QE3hA,YM0N9957U2rFDsNYXUqE1g,
inside,fQA8NxJQxXdIIIRyJbNYsA,pCgDALtN-Di5e6qLZuHyaw,"w/ dignitaries during the 2018 Miss. Waterfront Festival media launch at Aielli on May 28, 2018."
food,QgDFTxx8jmCTRGVYI7I5hg,HX958eTFSmgbSpF0Lh-IUA,
food,xrpWD0nQQPbwix4qJS4auQ,1qYCUtw6_ehv7u_FxiE8IA,"Spicy, Broccoli and Ricotta Pizza"
food,ZiBXquhSlsTEpoXzq3MRDw,umXvdus9LbC6oxtLdXelFQ,Rikyu! If you love black sesame and red bean you will love this one
food,a6j8UtC_dYvwAHa9VWBKPw,i9D9xPBV0gR1Ja9kbY4NCw,Shrimp and grits / chicken and waffles
food,p2M-TjbysqADtWyGvyD6vw,0Hcks5q-DgJbDlmEWolx4A,Sera Scallops & Shrimp
food,aArEctMFGmXnxdj594-kBw,4Pn83EWDr16n6kU1O6u42g,
food,2LeSG78CpULv05OzXySu9A,cUpdeZJawIwOl6G21z7CzA,
inside,0ZFFYdHn0nvdN5GvbkLMVw,JPfi__QJAaRzmfh5aOyFEw,Look Clean.
inside,rd_64_fpDwngCjRaLtRZwA,So132GP_uy3XbGs0KNyzyw,Great atmosphere for group gathering... booze and food and games...good times to be outdoor. Like no other.
food,C7xVPMyIWLUz3HaHI196EA,qaNt4vtVdge_S68DVjw5Jg,Cheese and oat cake. Really isn't what I thought it would be. I feel sorry for British.
inside,_irVRrj9wwmi5j04X8MkKw,YJ8ljUhLsz6CtT_2ORNFmg,Just got to vegas and having a Guinness!! All is good!
food,XfNIP6LVOiEzjSpxpJtNLA,zr42_UsWfaIF-rcp37OpwA,
food,Ca5q3bHbq1SGiIW1tSvyoA,tXR5EE1q4JesG0XWawXWUw,Home fries
food,ssmXCwau3FEY1SUEXzt71w,8D0riP6OYLoQ_pPE7Q2MNQ,
food,E8ADvJMITsRLqnolU-GVpg,DKZN5IjHEE_BCDCRLxb7sQ,
food,aQWczJOjAKKFMI4cCR4kUQ,0_ETdGuqk5e2FKFYeYQJVQ,
inside,Bblz5jkk4ZgoOdW9713Fpg,EjBZKPyq_G9WMO01N8DnDw,
food,jHWmMVY7GkxJ1D4K_dV6yQ,82AEJCAi_-mzOcJmy_XTew,Fettuccini Alfredo
food,CBLPAapySHdKxDYFhvnksw,ZpMoI5EECS6Rm7KigN1gPg,"12/30/17 Australian Abalone and Yellow Fungus Soup  Yellow Wood Ear Mushrooms, Live Tank Abalone"
drink,UQZWnhh3UP7HuV7ZycqBrw,IoXcQkLpEaiv6S7ITelLWg,"Whisky haib?ru (Highball, served with sparkling spring water in a tall glass) is the most common way to imbibe Japanese whisky."
food,BzJFvw8xEHVpxMaQa29Pig,awI4hHMfa7H0Xf0-ChU5hg,
menu,v9ddzFxOv9Zeya9qamJw1A,NNHnU8NXDM9fVPm52Z6-JA,
food,KBM-Vtq_IJEq8bB-tbETEQ,Ih5Q1cNDLchhi1FqqTwrag,
food,hfmdOMofGLXUtxRjOAl8NQ,RtnTbhWYw4QjKhoTBV37OA,"Try our Boneless Wings in three different flavors buffalo, firecracker, and jerk."
inside,ekK41gSX2JOEdZh-wuU30Q,ZJ0gQp0fcnIDiZv0m9--Gg,05/12/18 Angara India Spice Grill
food,W3wUx_8iB0psQAKgJi2mPQ,jwoEWuiXruWHUSB8DeesKA,
inside,ZGeHuu5NIE_6lSQxJK-3LA,j8pUAS0qdEcPsjkqEDNbhw,
food,F1DCPILqmUO8qlwpGnFljg,f1KNYRXm8fxIjb6rVdyk7Q,Filet Mignon & Grilled Prawns
drink,N1Hi-WE6DvkK8PNZV8PFJw,wmCBxE0PfLZD8sxIwAY59Q,Hofbräuhaus-Pittsburgh
food,qbCGUE_Xh7F3ye0V4f4-Xg,68RCMLdDD1riqOgLJWZoaA,
inside,ncmWt7wD1-vIA73Z59IPPg,0-fJRl595ZfHFyLQ3cROUg,
food,Cp7sUi1Dw3Lr2oPTk20PDQ,zaczw0lMSefftLJZTnPFtQ,
food,wPXym0B7K6HL2R7-T-jNbA,2AMU5QFJOWjpHkpDKy3AJw,
drink,80P3qa1Q-FhLtns5Zw0gtw,37kk0IW6jL7ZlxZF6k2QBg,"Their logo has a mushroom, a pig and a chicken! They are a big fan of mushroom here at this restaurant. Nice logo right?"
inside,GtUy94YjPmWfhB1qFB9pPw,1DP5vHxJzCDbgawv0WC3yA,Dessert!!
inside,o52qZ797sRyesYMgOvDzBA,orrhJxM6V1USwccG7MlxmA,
food,FvafZ5DlswxU0w245XxOxg,ICdoTODBaprN0UReete9VQ,1 meat plate with brisket and sides of baked beans and creamed corn
food,33enDUjC2H8P1IFYvO02AA,YR5MtaOZHaArB6qTZkngQw,
food,lDUDTA1ubH-cQsLyRnph1g,R5ZvZ97FDp2bD93CNKg-zQ,
food,h3TOJn-DYeRegvRMWKzPiw,EZQESVzkOPs7LwCHVC3Szg,
