is_open,hours.Monday,attributes.BusinessAcceptsCreditCards,hours.Tuesday,attributes.HappyHour,attributes.Ambience,attributes.NoiseLevel,hours.Wednesday,attributes.GoodForKids,attributes.AgesAllowed,neighborhood,attributes.Corkage,categories,attributes.AcceptsInsurance,attributes.Alcohol,attributes.WiFi,attributes.Music,attributes.RestaurantsReservations,postal_code,attributes.HairSpecializesIn,name,longitude,attributes.BikeParking,attributes.RestaurantsTableService,attributes.RestaurantsDelivery,attributes.RestaurantsTakeOut,hours.Friday,attributes.RestaurantsPriceRange2,attributes.DriveThru,city,attributes.DogsAllowed,attributes.GoodForMeal,attributes.RestaurantsCounterService,attributes.DietaryRestrictions,latitude,attributes,attributes.BusinessParking,stars,business_id,attributes.BestNights,address,attributes.ByAppointmentOnly,attributes.BYOB,attributes.BusinessAcceptsBitcoin,attributes.BYOBCorkage,attributes.Caters,attributes.Open24Hours,attributes.HasTV,attributes.OutdoorSeating,hours.Sunday,attributes.GoodForDancing,attributes.WheelchairAccessible,attributes.RestaurantsGoodForGroups,attributes.Smoking,attributes.CoatCheck,hours.Saturday,review_count,hours.Thursday,state,hours,attributes.RestaurantsAttire
1,,True,,,,,,,,,,"Shopping, Antiques",,,,,,85207,,Superstition Grand Antique Mall,-111.6686967,,,,,,2.0,,Mesa,,,,,33.415454499999996,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'ByAppointmentOnly': 'False', 'RestaurantsPriceRange2': '2'}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",4.5,ASGsftp5BPM4Rogn4R5Aqw,,7536 E Main St,False,,,,,,,,,,,,,,,7,,AZ,,
0,11:0-20:0,True,11:0-20:0,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",average,11:0-20:0,True,,,,"Restaurants, Spanish, Caribbean, Dominican",,none,free,,False,28025,,Pilón Dominican Kitchen,-80.5844283,True,False,True,True,11:0-21:0,1.0,,Concord,False,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}",,,35.3834685,"{'Alcohol': 'none', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'True', 'BusinessAcceptsBitcoin': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'True', 'DogsAllowed': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV': 'True', 'NoiseLevel': 'average', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'WiFi': 'free'}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",5.0,uo-40ZDaRJBoh-PY4dbCgQ,,497 Warren C Coleman Blvd S,,,False,,True,,True,False,,,True,True,,,11:0-21:0,18,11:0-20:0,NC,"{'Monday': '11:0-20:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0'}",casual
1,9:0-19:0,True,9:0-19:0,,,,9:0-19:0,True,,Bellevue,,"Hair Salons, Beauty & Spas",,,,,,15202,"{'coloring': True, 'africanamerican': True, 'curly': True, 'perms': True, 'kids': True, 'extensions': True, 'asian': True, 'straightperms': True}",Guys & Dolls Salon,-80.058902,,,,,8:0-20:0,1.0,,Bellevue,,,,,40.496863,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly': 'False', 'GoodForKids': 'True', 'HairSpecializesIn': ""{'coloring': True, 'africanamerican': True, 'curly': True, 'perms': True, 'kids': True, 'extensions': True, 'asian': True, 'straightperms': True}"", 'RestaurantsPriceRange2': '1', 'WheelchairAccessible': 'True'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",3.0,MUtOg3dKzc9wa-2ODivTbw,,613 Lincoln Ave,False,,,,,,,,,,True,,,,8:0-18:0,4,8:0-20:0,PA,"{'Monday': '9:0-19:0', 'Tuesday': '9:0-19:0', 'Wednesday': '9:0-19:0', 'Thursday': '8:0-20:0', 'Friday': '8:0-20:0', 'Saturday': '8:0-18:0'}",
1,8:0-17:0,True,8:0-17:0,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",average,8:0-17:0,True,,Koreatown,,"Restaurants, Korean",,none,no,,False,M6G 1L4,,The Manna,-79.41825159999999,False,True,False,True,8:0-17:0,1.0,,Toronto,,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}",,,43.6638607,"{'Alcohol': 'none', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV': 'True', 'NoiseLevel': 'average', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': 'no'}",,4.5,yhUzMGe0zXJhdXa5eRyY-g,,726 Bloor Street,,,,,,,True,False,,,,True,,,8:0-17:0,15,8:0-17:0,ON,"{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0', 'Saturday': '8:0-17:0'}",casual
1,7:0-19:0,,7:0-19:0,,,,7:0-19:0,,,,,"Local Services, Dry Cleaning & Laundry, Laundry Services",,,,,,15101,,Ruby's Cleaners,-79.9478913,,,,,7:0-19:0,,,Allison Park,,,,,40.600040899999996,,,4.5,tbHqWdl91o-qFz_1VdoHig,,4855 William Flynn Hwy,,,,,,,,,,,,,,,9:0-16:0,3,7:0-19:0,PA,"{'Monday': '7:0-19:0', 'Tuesday': '7:0-19:0', 'Wednesday': '7:0-19:0', 'Thursday': '7:0-19:0', 'Friday': '7:0-19:0', 'Saturday': '9:0-16:0'}",
0,,True,10:0-17:0,,,,10:0-17:0,,,,,"Event Planning & Services, Art Supplies, Shopping, Cards & Stationery, Flowers & Gifts, Arts & Crafts",,,,,,85225,,Stamp Works,-111.84258759999999,,,,,10:0-17:0,2.0,,Chandler,,,,,33.2999995,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'WheelchairAccessible': 'True'}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",5.0,MZDyj2F_ZpbNyPD-P69lug,,238 S Wall St,,,,,,,,,,,True,,,,10:0-17:0,4,10:0-17:0,AZ,"{'Tuesday': '10:0-17:0', 'Wednesday': '10:0-17:0', 'Thursday': '10:0-17:0', 'Friday': '10:0-17:0', 'Saturday': '10:0-17:0'}",
1,,,,,,,,False,,The Strip,,"Arts & Entertainment, Performing Arts",,,,,,89109,,Dirk Arthur - Wild Illusions,-115.1615118,,,,,,,,Las Vegas,,,,,36.1356446,{'GoodForKids': 'False'},,2.5,DgCYm7QB5aLqdPN2k3hYLg,,2901 S Las Vegas Blvd,,,,,,,,,,,,,,,,5,,NV,,
0,,True,,,,,,,,,,"Restaurants, Hot Dogs, Food",,,,,,T4B 3G6,,Nathan's Famous Hot Dogs,-114.003647,,,,,,2.0,,Airdrie,,,,,51.268421000000004,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2'}",,2.0,dqw-6LhOPvJczH8FbFmrBA,,"130 Sierra Springs Drive Southeast, Suite 3001",,,,,,,,,,,,,,,,4,,AB,,
1,,,,,,,,,,,,"Home Services, Local Services, Metal Fabricators, Contractors, Fences & Gates",,,,,,85257,,Sacred Steel,-111.91051599999999,,,,,,,,Scottsdale,,,,,33.468848,{'ByAppointmentOnly': 'True'},,5.0,zLik3MNAFndF4IdIWkDHkw,,,True,,,,,,,,,,,,,,,3,,AZ,,
1,12:0-0:0,True,12:0-0:0,False,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",loud,12:0-0:0,,,University City,,"Adult Entertainment, Nightlife",,full_bar,,"{'dj': True, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}",,28262,,Leather And Lace University,-80.7598603,,,,,12:0-0:0,2.0,,Charlotte,,,,,35.28835720000001,"{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}"", 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForDancing': 'False', 'HappyHour': 'False', 'HasTV': 'True', 'Music': ""{'dj': True, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}"", 'NoiseLevel': 'loud', 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'Smoking': 'outdoor'}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",1.5,Ta_Xq9acPCEeqOV_hiuLHQ,"{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}",7321 N Tryon St,,,,,,,True,False,19:0-0:0,False,,True,outdoor,,12:0-0:0,3,12:0-0:0,NC,"{'Monday': '12:0-0:0', 'Tuesday': '12:0-0:0', 'Wednesday': '12:0-0:0', 'Thursday': '12:0-0:0', 'Friday': '12:0-0:0', 'Saturday': '12:0-0:0', 'Sunday': '19:0-0:0'}",
1,0:0-0:0,,0:0-0:0,,,average,0:0-0:0,,,Saint-Laurent,,"Burgers, Restaurants, Fast Food",,,,,,H4L 1Z8,,A&W,-73.6828108106,,,,True,0:0-0:0,,,Montréal,,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}",,,45.5139524449,"{'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'NoiseLevel': 'average', 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True'}",,2.0,qeBJlOz0-Bm6clrfR3hdOQ,,1494 Boulevard de la Côte-Vertu,,,,,,,,False,0:0-0:0,,,True,,,0:0-0:0,4,0:0-0:0,QC,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",
1,9:0-21:0,True,9:0-19:0,,,,9:0-19:0,,,,,"Auto Repair, Auto Parts & Supplies, Towing, Car Dealers, Automotive",,,,,,44111,,Ganley Ford West,-81.8112463,,,,,9:0-19:0,,,Cleveland,,,,,41.4517896,{'BusinessAcceptsCreditCards': 'True'},,3.0,q5VNkt4l7_n8JAVq396E2w,,16100 Lorain Ave,,,,,,,,,12:0-17:0,,,,,,9:0-18:0,19,9:0-21:0,OH,"{'Monday': '9:0-21:0', 'Tuesday': '9:0-19:0', 'Wednesday': '9:0-19:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-19:0', 'Saturday': '9:0-18:0', 'Sunday': '12:0-17:0'}",
1,8:0-17:30,True,8:0-17:30,,,,8:0-17:30,,,,,"Automotive, Auto Repair, Tires",,,,,,44107,,Auto Truck and Fleet Services,-81.7870839,,,,,8:0-17:30,,,Lakewood,,,,,41.477237,{'BusinessAcceptsCreditCards': 'True'},,5.0,RllmvmuDevO-GAfo-xS3Pw,,13600 Madison Ave,,,,,,,,,,,,,,,8:0-14:0,4,8:0-17:30,OH,"{'Monday': '8:0-17:30', 'Tuesday': '8:0-17:30', 'Wednesday': '8:0-17:30', 'Thursday': '8:0-17:30', 'Friday': '8:0-17:30', 'Saturday': '8:0-14:0'}",
1,7:0-19:0,True,7:0-19:0,,,,7:0-19:0,,,,,"Masonry/Concrete, Patio Coverings, Landscape Architects, Landscaping, Artificial Turf, Irrigation, Home Services, Contractors",,,,,,85022,,Pro Ops Land & Home,-112.05956029999999,,,,,7:0-19:0,,,Phoenix,,,,,33.627548299999994,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",,5.0,nWPDjO7w0WfQMCyRshKqcA,,,True,,,,,,,,,,,,,,9:0-17:0,4,7:0-19:0,AZ,"{'Monday': '7:0-19:0', 'Tuesday': '7:0-19:0', 'Wednesday': '7:0-19:0', 'Thursday': '7:0-19:0', 'Friday': '7:0-19:0', 'Saturday': '9:0-17:0'}",
1,10:30-22:30,,10:30-22:30,,,,10:30-22:30,,,Scarborough,,"Restaurants, Chicken Wings, Fast Food",,,,,,M1B 3A4,,Chick-N-Joy,-79.19944790000001,,,,,10:30-22:30,,,Scarborough,,,,,43.8009645,,,2.5,9w1N8NjX9K61qaslqK9aPw,,"1160 Morningside Avenue, Ste 4",,,,,,,,,10:30-21:0,,,,,,10:30-22:30,3,10:30-22:30,ON,"{'Monday': '10:30-22:30', 'Tuesday': '10:30-22:30', 'Wednesday': '10:30-22:30', 'Thursday': '10:30-22:30', 'Friday': '10:30-22:30', 'Saturday': '10:30-22:30', 'Sunday': '10:30-21:0'}",
1,9:0-20:0,True,9:0-20:0,,,,9:0-20:0,,,,,"Beauty & Spas, Cosmetics & Beauty Supply, Shopping, Makeup Artists",,,,,,85251,,Jamie Kouri Makeup Artistry,-111.9224398,True,,,,9:0-20:0,2.0,,Scottsdale,True,,,,33.4986286,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly': 'True', 'DogsAllowed': 'True', 'RestaurantsPriceRange2': '2', 'WheelchairAccessible': 'True'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",5.0,YQj6MXzxPd5a5wWTNf5jBA,,,True,,,,,,,,9:0-20:0,,True,,,,9:0-20:0,33,9:0-20:0,AZ,"{'Monday': '9:0-20:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-20:0', 'Saturday': '9:0-20:0', 'Sunday': '9:0-20:0'}",
0,12:0-20:0,False,12:0-20:0,,,,12:0-20:0,,,Brown's Corners,,"Juice Bars & Smoothies, Food, Bubble Tea",,,no,,,L3R 3P9,,Fruit Jungle,-79.34757900000001,True,,,True,12:0-20:0,1.0,,Markham,,,,,43.848901,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'WiFi': 'no'}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",4.5,AUQdUUWIdbs4pqAzQFNhQg,,"3255 Highway 7 E, Suite 38",,,,,False,,,,12:0-20:0,,True,,,,12:0-20:0,51,12:0-20:0,ON,"{'Monday': '12:0-20:0', 'Tuesday': '12:0-20:0', 'Wednesday': '12:0-20:0', 'Thursday': '12:0-20:0', 'Friday': '12:0-20:0', 'Saturday': '12:0-20:0', 'Sunday': '12:0-20:0'}",
